,Country,Year,Electricity production from coal sources (% of total),"Electricity production from oil, gas and coal sources (% of total)",Electricity production from hydroelectric sources (% of total),Electricity production from natural gas sources (% of total),Electricity production from nuclear sources (% of total),Electricity production from oil sources (% of total),Renewable electricity output (% of total electricity output),"Electricity production from renewable sources, excluding hydroelectric (kWh)","Electricity production from renewable sources, excluding hydroelectric (% of total)",Renewable energy consumption (% of total final energy consumption),Adjusted savings: carbon dioxide damage (current US$),Adjusted savings: carbon dioxide damage (% of GNI),Adjusted savings: particulate emission damage (current US$),Adjusted savings: particulate emission damage (% of GNI),GDP (current US$),GDP (current LCU),GDP growth (annual %),"Population, total",Total greenhouse gas emissions including LULUCF (Mt CO2e),Total greenhouse gas emissions excluding LULUCF (Mt CO2e),Total greenhouse gas emissions excluding LULUCF per capita (t CO2e/capita),Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),Carbon intensity of GDP (kg CO2e per constant 2015 US$ of GDP),Carbon dioxide (CO2) emissions (total) excluding LULUCF (% change from 1990),Total greenhouse gas emissions excluding LULUCF (% change from 1990),Total spending climate protection
122,France,2011,3.46527662764446,9.90420236922621,8.87248193443223,5.14099423819527,77.1239790448131,1.29793150338648,12.4090462949242,20285910000.0,3.53656436049198,10.6,9996686078.12823,0.339869803004296,1560467339.57978,0.0530531541305457,2870408553990.28,2062141400000.0,2.43757653729007,65340830.0,450.062,493.2444,7.54879299819118,364.3139,0.153724845126277,-5.43981914076289,-7.46123271104801,45917847000.0
121,France,2012,4.21050794814078,9.45191854682511,11.2999703362474,3.97023155176325,74.2302256190127,1.27117904692108,15.7356680451587,25420540000.0,4.43569770891134,12.3,10514726244.1979,0.383420384947416,1443470816.85452,0.0526362858532926,2683007095787.23,2088286700000.0,0.183835264973013,65657659.0,449.0606,495.4001,7.54519895386462,366.1388,0.154211379781467,-4.96615378226292,-7.05679665329489,47380889000.0
120,France,2013,4.52131676506934,8.77488672250446,13.2277220925443,3.15683784154881,72.7179733626253,1.09673211588631,17.9490525882191,27508360000.0,4.72133049567486,13.4,10944082622.1375,0.380682248494704,1420010135.82959,0.0493940579632886,2816077607875.26,2120351900000.0,0.781756446231,65997932.0,437.8829,490.0673,7.42549478671544,360.9924,0.150864412144389,-6.30193733258582,-8.05729607751243,54744382000.0
119,France,2014,2.41407535782663,5.83238651734026,12.1419333895314,2.29714140107824,76.1779350859465,1.12116975843539,17.4240636120725,30265180000.0,5.28213022254103,13.2,10306618910.023,0.353224708192649,1337687040.22656,0.0458447254683698,2861236112552.42,2153733100000.0,0.997832947295251,66312067.0,411.4963,456.1684,6.87911598352077,328.0879,0.135758460468414,-14.8425268381819,-14.4171501750986,53607054000.0
118,France,2015,2.51007496081241,7.30673923052649,10.4350210293791,3.64595458205941,75.4310634709598,1.15070968765466,16.6912500883769,36280060000.0,6.2562290589978,13.3,10824778115.7839,0.43440467977547,1105787841.08795,0.0443759131013496,2442483452642.5,2201401600000.0,1.06675474783462,66548272.0,418.8697,460.3796,6.9179797786485,332.9749,0.136326368819309,-13.5740723436948,-13.6270768224012,52716628000.0
117,France,2016,2.1692688681752,9.57766039233192,11.6355075621499,6.19408986717967,71.4223714930508,1.21430165697705,18.3954832584027,38161550000.0,6.75997569625276,14.2,11273355602.8833,0.446420628406464,1012712983.71618,0.040103052055799,2470407619777.13,2231819200000.0,0.860031075424033,66724104.0,424.2918,461.9592,6.92342305563219,335.7678,0.136297634127576,-12.8491559210116,-13.3307242701784,53529112000.0
116,France,2017,2.70195793280129,11.1429541620072,9.80193108745006,7.20024320821503,70.821769979786,1.24075302099093,17.3813942159824,42633040000.0,7.57946312853234,14.1,11892274108.8085,0.448121588283429,1008360199.86331,0.0379967674971305,2588868323334.71,2291680500000.0,2.08361485997399,66918020.0,435.1724,465.0188,6.94908187660065,339.3458,0.134938447840844,-11.9204613883179,-12.7567053610995,58351762000.0
115,France,2018,1.81063399670575,8.03913250330198,12.1038701399969,5.24657908341592,70.9243989028334,0.981919423180306,20.4354555869103,48508740000.0,8.33158544691332,15.2,12029833371.4683,0.421262600360954,1085853888.07595,0.0380246025342155,2781576320884.39,2355362800000.0,1.64590872395887,67158348.0,412.0556,451.87,6.72842637522889,328.6302,0.128561461280237,-14.7017691397247,-15.2235833293622,63042469000.0
114,France,2019,1.02762620446821,8.92907769148113,10.7753747720567,6.86647509511493,69.8287056319936,1.03497639189799,20.6287000318508,56303280000.0,9.85332525979413,15.5,12254880823.6214,0.439650146125679,1073607607.63973,0.0385162245454597,2722793515171.76,2432206800000.0,2.02744646419237,67382061.0,405.0328,441.6307,6.55412870199978,322.7523,0.123752977694121,-16.2274185510496,-17.1446030102785,71104600000.0
113,Germany,2001,51.4399579813303,62.2154275365532,4.64746267944052,9.96408631562433,29.2126956409041,0.811383239598503,7.23304331811066,15162000000.0,2.58558063867014,3.9,16450790907.4905,0.851435712250418,1803584187.3544,0.0933472436552863,1966381496641.73,2195530000000.0,1.63654099437316,82349925.0,1032.0628,1043.9911,12.6774990991188,885.8183,0.302144586110303,-12.557683294381,-15.5260550533691,38320580000.0
